Date,Start_station,End_station,Duration,Bike_ID
11/3/2019,Plaza / Overland,Figueroa / Durango,22,567
9/3/2019,Playa / Overland,Runway / Rowena,32,348
10/24/2019,Overland / Olympic,Overland / McConnell,19,506
11/11/2019,Overland / McConnell,Ballona / Ardmore,7,516
9/29/2019,Charnock / Beatrice,Overland / Olympic,27,628
10/2/2019,Durango / Centinela,Charnock / Beatrice,25,632
10/26/2019,Overland / Olympic,Virgil / Vermont,1285,491
9/5/2019,Beatrice / Ballona,Overland / Olympic,18,474
10/9/2019,Exposition / Durango,Charnock / Berendo,11,93
9/14/2019,Virgil / Vermont,Beatrice / Ballona,16,544
11/14/2019,Runway / Rowena,Overland / Olympic,44,455
10/4/2019,Beatrice / Ballona,Figueroa / Culver,97,573
9/29/2019,Figueroa / Culver,McConnell / Inglewood,6,420
11/4/2019,Rowena / Rose,Fountain / Figueroa,25,568
11/28/2019,Overland / Olympic,Runway / Rowena,11,474
10/30/2019,Playa / Overland,Charnock / Beatrice,24,528
10/12/2019,Figueroa / Durango,Ardmore / 6th,11,407
12/20/2019,Fountain / Figueroa,Wilcox / Vista,9,268
11/5/2019,Fountain / Figueroa,Wilcox / Vista,9,480
11/24/2019,Fountain / Figueroa,Wilcox / Vista,8,443
9/18/2019,Virgil / Vermont,Ardmore / 6th,8,282
9/28/2019,Beatrice / Ballona,Fountain / Figueroa,20,544
11/10/2019,Overland / Olympic,Hollywood / Fountain,7,493
12/18/2019,Rowena / Rose,Rowena / Rose,23,291
10/10/2019,Wilcox / Vista,Wilcox / Vista,56,424
10/12/2019,Fountain / Exposition,Rodney / Plaza,5,214
10/6/2019,Charnock / Beatrice,Rose / Rodney,18,632
9/16/2019,Overland / Olympic,Berendo / Beatrice,30,348
11/6/2019,Charnock / Beatrice,Rowena / Rose,15,581
9/7/2019,Overland / Olympic,Beatrice / Ballona,22,356
9/6/2019,Playa / Overland,Fountain / Durango,16,462
9/17/2019,Overland / McConnell,Vermont / Venice,23,417
11/28/2019,Rowena / Rodney,Rose / Plaza,8,646
9/23/2019,Rowena / Rodney,Charnock / Centinela,8,81
9/3/2019,Olympic / McConnell,Beatrice / Ballona,19,536
12/6/2019,Virgil / Vermont,Figueroa / Durango,126,330
9/15/2019,Rose / Plaza,Rose / Plaza,2,658
12/10/2019,Rowena / Rose,Rowena / Rose,3,634
11/21/2019,Rowena / Rose,Rowena / Rose,3,587
11/29/2019,Exposition / Charnock,Exposition / Charnock,69,98
12/3/2019,Ballona / Ardmore,Ballona / Ardmore,3,288
12/19/2019,Ballona / Ardmore,Ballona / Ardmore,3,509
9/11/2019,Vermont / Venice,Virgil / Vermont,7,544
9/1/2019,McConnell / Inglewood,Durango / Charnock,9,563
11/14/2019,Vista / Virgil,Beatrice / 6th,10,381
11/21/2019,Figueroa / Durango,Overland / Olympic,30,427
12/17/2019,Overland / Olympic,Charnock / Beatrice,11,587
11/8/2019,Figueroa / Durango,Overland / Olympic,26,441
12/12/2019,Overland / McConnell,Virgil / Vermont,23,321
11/4/2019,Playa / Olympic,Figueroa / Durango,9,372
10/14/2019,Beatrice / 6th,Fountain / Durango,9,381
10/15/2019,Beatrice / 6th,Fountain / Durango,9,578
12/26/2019,Sepulveda / Runway,Overland / McConnell,52,550
11/7/2019,Charnock / Centinela,Venice / Sepulveda,13,40
12/6/2019,Venice / Sepulveda,Charnock / Centinela,20,34
9/27/2019,Venice / Sepulveda,Charnock / Centinela,20,650
11/24/2019,Durango / Charnock,Ballona / Ardmore,8,411
12/14/2019,Sepulveda / Runway,Durango / Centinela,16,552
9/8/2019,Plaza / Overland,Wilcox / Vista,68,446
9/19/2019,Vista / Vermont,Sepulveda / Rowena,10,38
12/23/2019,Wilcox / Vista,Vista / Virgil,21,608
9/30/2019,Wilcox / Vista,Vista / Virgil,21,424
12/6/2019,Overland / McConnell,Exposition / Culver,16,550
10/15/2019,Vista / Virgil,Olympic / McConnell,29,608
9/20/2019,Runway / Rowena,Wilcox / Vista,18,575
9/6/2019,Overland / McConnell,Beatrice / 6th,14,425
12/30/2019,Vermont / Venice,Exposition / Culver,21,268
10/2/2019,Wilcox / Vista,Vista / Virgil,13,547
11/17/2019,Olympic / McConnell,Playa / Olympic,11,492
11/23/2019,Fountain / Figueroa,Plaza / Overland,5,543
11/2/2019,Wilcox / Vista,Beatrice / Ballona,20,575
10/13/2019,Overland / McConnell,Durango / Charnock,11,443
10/28/2019,Overland / McConnell,Runway / Rowena,12,637
11/25/2019,Overland / McConnell,Vista / Virgil,11,508
11/4/2019,Vista / Virgil,Overland / Olympic,9,311
11/21/2019,Venice / Runway,Ballona / 6th,5,55
11/19/2019,Overland / McConnell,Beatrice / Ballona,6,336
12/13/2019,Overland / McConnell,Culver / Berendo,15,458
9/11/2019,Wilcox / Vista,Sepulveda / Runway,11,552
10/24/2019,Playa / Olympic,Vista / Virgil,12,415
9/27/2019,Beatrice / Ballona,Charnock / Beatrice,201,364
9/27/2019,Beatrice / 6th,Ardmore / 6th,9,593
10/4/2019,McConnell / McConnell,Durango / Centinela,14,378
12/11/2019,Durango / Centinela,Figueroa / Durango,15,612
12/24/2019,McConnell / Inglewood,Olympic / McConnell,5,637
9/14/2019,Exposition / Culver,Playa / Olympic,12,510
10/17/2019,Beatrice / Ballona,Culver / Berendo,10,536
11/9/2019,Rowena / Rose,Fountain / Durango,11,550
10/1/2019,Hyperion / Hollywood,McConnell / Inglewood,6,390
11/15/2019,Ardmore / 6th,Exposition / Culver,15,282
9/28/2019,Culver / Berendo,Figueroa / Durango,13,544
12/21/2019,Playa / Olympic,Olympic / McConnell,15,611
9/5/2019,Fountain / Exposition,Hyperion / Fountain,6,249
12/16/2019,Culver / Berendo,Ardmore / 6th,10,290
9/15/2019,McConnell / Inglewood,Hyperion / Hollywood,11,276
9/22/2019,Culver / Charnock,Beatrice / 6th,22,594
12/30/2019,Inglewood / Hyperion,Exposition / Charnock,4,159
9/30/2019,Rowena / Rose,Charnock / Beatrice,9,515
11/3/2019,Beatrice / Ardmore,Berendo / Ballona,6,148
11/2/2019,Figueroa / Culver,Ballona / Ardmore,13,499
11/19/2019,Vista / Virgil,Ballona / Ardmore,7,619
12/6/2019,Figueroa / Durango,Ardmore / 6th,9,557
12/26/2019,Vista / Virgil,Culver / Berendo,7,547
9/3/2019,Durango / Charnock,Runway / Rowena,218,318
10/24/2019,Durango / Charnock,Runway / Rowena,218,466
9/14/2019,Overland / Olympic,Overland / Olympic,6,486
10/28/2019,Overland / Olympic,Overland / Olympic,151,344
12/12/2019,Sepulveda / Rowena,Berendo / Ardmore,11,652
10/20/2019,Fountain / Figueroa,Rowena / Rose,20,597
10/27/2019,Fountain / Figueroa,Rowena / Rose,20,415
9/10/2019,Figueroa / Durango,Overland / Olympic,43,260
9/14/2019,Sepulveda / Runway,Overland / McConnell,8,621
9/13/2019,Fountain / Figueroa,Beatrice / Ballona,12,636
10/27/2019,Exposition / Culver,Charnock / Beatrice,16,580
9/7/2019,Beatrice / 6th,Playa / Olympic,10,425
11/16/2019,Charnock / Beatrice,Overland / Olympic,22,580
12/17/2019,Beatrice / 6th,Fountain / Figueroa,16,259
11/26/2019,Overland / Olympic,Figueroa / Durango,103,544
12/8/2019,Durango / Charnock,Overland / Olympic,25,421
11/15/2019,Hyperion / Hollywood,Vista / Virgil,5,361
12/21/2019,Beatrice / Ballona,Exposition / Culver,13,374
11/29/2019,Beatrice / Ballona,Beatrice / Ballona,176,356
12/19/2019,McConnell / Inglewood,Hyperion / Hollywood,7,472
11/7/2019,Vermont / Venice,Plaza / Overland,137,522
11/5/2019,Durango / Charnock,Durango / Centinela,15,443
12/21/2019,Runway / Rowena,Runway / Rowena,2,555
11/22/2019,Culver / Berendo,Playa / Overland,20,547
12/9/2019,Inglewood / Hollywood,Inglewood / Hollywood,113,154
10/29/2019,Runway / Rowena,Playa / Olympic,20,497
11/5/2019,Overland / Olympic,Overland / Olympic,142,580
10/4/2019,Plaza / Overland,Wilcox / Vista,16,371
12/29/2019,Runway / Rowena,Overland / Olympic,10,284
12/17/2019,Runway / Rowena,Ardmore / 6th,11,590
10/29/2019,Durango / Centinela,Overland / McConnell,7,425
9/24/2019,Durango / Centinela,Overland / McConnell,7,382
10/2/2019,Olympic / McConnell,Figueroa / Culver,17,611
11/11/2019,Berendo / Beatrice,Runway / Rowena,17,406
10/22/2019,Rowena / Rose,Overland / Olympic,120,549
12/30/2019,Olympic / McConnell,Westlawn / Vista,7,572
11/24/2019,Overland / Olympic,Durango / Charnock,15,327
9/23/2019,Hollywood / Fountain,Overland / Olympic,15,612
9/18/2019,Wilcox / Vista,Virgil / Vermont,11,371
11/4/2019,Overland / Olympic,Runway / Rowena,24,326
9/18/2019,Runway / Rowena,Beatrice / Ballona,44,406
10/21/2019,Runway / Rowena,Beatrice / Ballona,30,530
12/10/2019,Virgil / Vermont,Overland / Olympic,15,446
9/18/2019,Plaza / Overland,Vermont / Venice,20,273
11/7/2019,McConnell / Inglewood,Culver / Berendo,7,421
9/22/2019,McConnell / Inglewood,Figueroa / Durango,14,408
9/14/2019,Beatrice / 6th,Durango / Charnock,10,398
12/22/2019,Overland / McConnell,Wilcox / Vista,18,634
9/11/2019,Hyperion / Hollywood,Hollywood / Fountain,4,508
12/29/2019,Vista / Virgil,Runway / Rowena,5,340
9/9/2019,McConnell / Inglewood,McConnell / Inglewood,7,410
9/15/2019,Durango / Centinela,Durango / Centinela,16,443
9/16/2019,Durango / Charnock,Playa / Olympic,11,536
10/10/2019,Exposition / Charnock,Exposition / Charnock,80,159
12/28/2019,Runway / Rowena,Charnock / Beatrice,4,326
9/16/2019,Playa / Olympic,Vermont / Venice,14,275
11/1/2019,Durango / Centinela,Runway / Rowena,17,443
9/13/2019,Berendo / Beatrice,Overland / McConnell,7,614
10/27/2019,Virgil / Vermont,Overland / Olympic,27,494
10/5/2019,Virgil / Vermont,Overland / Olympic,27,370
12/12/2019,Berendo / Ardmore,Rowena / Rodney,12,236
11/19/2019,Ballona / Ardmore,Playa / Olympic,4,613
12/23/2019,Durango / Centinela,Durango / Charnock,13,318
9/23/2019,Runway / Rowena,Ardmore / 6th,10,366
10/24/2019,Overland / Olympic,Runway / Rowena,8,580
10/21/2019,Overland / McConnell,Durango / Centinela,5,576
9/13/2019,Virgil / Vermont,Runway / Rowena,9,526
12/25/2019,Hyperion / Hollywood,Overland / McConnell,20,385
9/30/2019,Olympic / McConnell,Overland / McConnell,12,607
11/24/2019,Runway / Rowena,Overland / Olympic,8,340
12/18/2019,Runway / Rowena,Overland / McConnell,12,281
11/24/2019,Rose / Rodney,Beatrice / Ballona,23,432
11/5/2019,McConnell / Inglewood,Charnock / Beatrice,7,260
9/26/2019,Vermont / Venice,Durango / Centinela,11,272
11/8/2019,Sepulveda / Runway,Exposition / Culver,10,388
10/9/2019,Ballona / Ardmore,Overland / McConnell,6,626
9/27/2019,Culver / Berendo,Overland / McConnell,13,530
11/28/2019,Olympic / McConnell,Wilcox / Vista,46,382
10/4/2019,Culver / Centinela,Venice / Runway,6,666
10/5/2019,Ardmore / 6th,Vista / Virgil,5,289
11/22/2019,Ardmore / 6th,Vista / Virgil,5,391
12/18/2019,Ballona / Ardmore,Vista / Virgil,11,416
10/10/2019,Westlawn / Virgil,Rowena / Rodney,10,30
9/22/2019,Overland / Olympic,Rowena / Rose,11,597
11/11/2019,Rowena / Rodney,Venice / Runway,18,76
11/30/2019,Durango / Centinela,Overland / McConnell,8,635
11/14/2019,Durango / Centinela,Overland / McConnell,4,576
10/28/2019,Rowena / Rodney,Culver / Centinela,12,236
10/20/2019,Berendo / Ballona,Inglewood / Hollywood,19,151
9/1/2019,Westlawn / Vista,Exposition / Culver,12,631
10/23/2019,Wilcox / Vista,Fountain / Figueroa,5,511
9/27/2019,Ardmore / 6th,Vista / Virgil,4,499
10/27/2019,Wilcox / Vista,Rose / Rodney,9,559
9/2/2019,Fountain / Figueroa,Wilcox / Vista,4,512
10/2/2019,Durango / Centinela,McConnell / McConnell,18,378
9/26/2019,Beatrice / 6th,Durango / Charnock,14,377
9/1/2019,Fountain / Figueroa,Virgil / Vermont,5,519
9/8/2019,Ardmore / 6th,Vista / Virgil,10,312
10/9/2019,Fountain / Figueroa,Plaza / Overland,18,587
11/22/2019,Charnock / Beatrice,Overland / Olympic,9,584
10/16/2019,Overland / McConnell,McConnell / Inglewood,13,507
9/27/2019,Vista / Virgil,Beatrice / 6th,9,520
12/29/2019,McConnell / Inglewood,McConnell / Inglewood,12,472
11/6/2019,Durango / Centinela,Ardmore / 6th,13,330
12/18/2019,Rowena / Rodney,Culver / Centinela,9,30
11/3/2019,Durango / Charnock,Rowena / Rose,8,271
12/12/2019,Overland / Olympic,Overland / McConnell,24,370
10/22/2019,Charnock / Beatrice,Exposition / Culver,31,319
12/6/2019,Vista / Virgil,Ardmore / 6th,5,289
12/2/2019,Culver / Berendo,Wilcox / Vista,22,402
11/9/2019,Runway / Rowena,Overland / McConnell,33,473
11/9/2019,Overland / Olympic,Westlawn / Vista,10,462
9/24/2019,Beatrice / 6th,Runway / Rowena,7,605
11/27/2019,Sepulveda / Runway,Wilcox / Vista,15,353
11/2/2019,Hollywood / Fountain,Culver / Charnock,12,442
10/15/2019,Durango / Charnock,Berendo / Beatrice,8,327
11/5/2019,McConnell / Inglewood,Rose / Rodney,18,334
9/11/2019,McConnell / Inglewood,Virgil / Vermont,13,446
11/11/2019,Overland / McConnell,Overland / Olympic,26,613
10/18/2019,Vermont / Venice,Wilcox / Vista,3,557
10/10/2019,Berendo / Ardmore,Venice / Sepulveda,8,670
11/19/2019,Vista / Virgil,Rowena / Rose,12,416
9/20/2019,Durango / Centinela,Playa / Olympic,6,496
10/10/2019,Berendo / Ardmore,Venice / Runway,8,174
12/24/2019,Overland / McConnell,McConnell / McConnell,10,409
9/16/2019,Vermont / Venice,Fountain / Figueroa,3,564
10/13/2019,Sepulveda / Rowena,Vista / Vermont,24,99
9/24/2019,Beatrice / Ballona,Vista / Virgil,7,272
10/16/2019,Centinela / Berendo,Ballona / 6th,648,187
11/20/2019,Culver / Berendo,Beatrice / Ballona,7,567
12/23/2019,McConnell / Inglewood,Overland / McConnell,15,507
11/10/2019,Rowena / Rose,Overland / McConnell,17,529
12/11/2019,Beatrice / Ballona,Culver / Berendo,9,395
12/26/2019,Rowena / Rose,Westlawn / Vista,5,521
11/3/2019,Westlawn / Vista,Wilcox / Vista,15,521
10/24/2019,Berendo / Ardmore,Rowena / Rodney,9,143
12/30/2019,Olympic / McConnell,Playa / Olympic,9,362
12/25/2019,Sepulveda / Rowena,Rowena / Rodney,9,676
9/17/2019,Fountain / Figueroa,Wilcox / Vista,4,558
11/22/2019,Runway / Rowena,Hyperion / Hollywood,9,516
9/4/2019,McConnell / McConnell,Overland / McConnell,8,586
9/18/2019,Culver / Berendo,Durango / Centinela,15,415
10/24/2019,Centinela / Beatrice,Charnock / Berendo,17,163
9/10/2019,Overland / McConnell,Wilcox / Vista,18,581
9/13/2019,Vermont / Venice,Figueroa / Durango,5,582
10/13/2019,Overland / McConnell,Olympic / McConnell,14,351
11/3/2019,Rowena / Rose,Beatrice / 6th,12,333
9/12/2019,McConnell / McConnell,Charnock / Beatrice,7,411
10/18/2019,Rose / Rodney,Wilcox / Vista,8,422
12/16/2019,Durango / Centinela,Overland / McConnell,5,629
12/2/2019,Runway / Rowena,McConnell / Inglewood,6,616
12/24/2019,Overland / McConnell,Charnock / Beatrice,12,529
11/20/2019,Vista / Virgil,Ballona / Ardmore,9,272
9/9/2019,Runway / Rowena,Durango / Centinela,18,605
12/4/2019,Culver / Charnock,Playa / Overland,7,635
12/8/2019,Wilcox / Vista,Sepulveda / Runway,11,557
9/21/2019,Runway / Rowena,Fountain / Durango,10,413
9/10/2019,Hyperion / Hollywood,Culver / Berendo,8,540
10/11/2019,Wilcox / Vista,Westlawn / Vista,25,581
9/12/2019,Fountain / Durango,Berendo / Beatrice,4,350
11/13/2019,McConnell / Inglewood,Overland / Olympic,7,616
11/20/2019,Vista / Virgil,Overland / Olympic,12,374
11/13/2019,Figueroa / Durango,Vermont / Venice,10,457
9/1/2019,Culver / Berendo,Rowena / Rose,17,621
9/8/2019,Culver / Berendo,Overland / Olympic,15,629
9/21/2019,Wilcox / Vista,Hyperion / Hollywood,19,402
10/20/2019,Durango / Charnock,Ardmore / 6th,6,322
9/2/2019,Overland / McConnell,McConnell / McConnell,8,282
11/25/2019,Overland / McConnell,Durango / Charnock,11,572
12/4/2019,Exposition / Culver,Sepulveda / Runway,8,394
10/28/2019,Playa / Olympic,Vista / Virgil,13,550
11/10/2019,Beatrice / Ardmore,Berendo / Ballona,6,84
12/23/2019,Culver / Berendo,Figueroa / Durango,9,540
10/3/2019,Ardmore / 6th,Charnock / Beatrice,10,327
9/27/2019,Vermont / Venice,Westlawn / Vista,12,273
12/3/2019,Ballona / Ardmore,Playa / Overland,12,390
12/24/2019,Culver / Charnock,Sepulveda / Runway,6,469
10/13/2019,Wilcox / Vista,Plaza / Overland,5,329
10/16/2019,Overland / McConnell,Culver / Berendo,15,348
12/2/2019,Overland / McConnell,Durango / Centinela,7,507
11/9/2019,Ballona / Ardmore,Durango / Centinela,18,575
10/28/2019,Rowena / Rodney,Sepulveda / Rowena,14,44
9/19/2019,Rowena / Rodney,Centinela / Berendo,5,641
12/16/2019,Playa / Olympic,Ardmore / 6th,15,288
10/12/2019,Runway / Rowena,Figueroa / Durango,15,315
11/14/2019,Westlawn / Vista,Playa / Olympic,14,356
12/6/2019,Overland / McConnell,Beatrice / 6th,10,497
10/20/2019,Rowena / Rose,Virgil / Vermont,12,524
10/18/2019,Vista / Virgil,Ballona / Ardmore,6,608
11/22/2019,Vermont / Venice,Durango / Centinela,8,366
9/25/2019,Rowena / Rodney,Westlawn / Virgil,15,676
12/18/2019,Rowena / Rodney,Westlawn / Virgil,14,53
9/5/2019,Wilcox / Vista,Fountain / Figueroa,5,521
11/22/2019,Culver / Charnock,Ballona / Ardmore,14,398
10/19/2019,Figueroa / Durango,Charnock / Beatrice,147,540
11/16/2019,Virgil / Vermont,Ballona / Ardmore,8,524
12/24/2019,Figueroa / Durango,Plaza / Overland,11,602
12/29/2019,Fountain / Figueroa,Beatrice / Ballona,11,326
10/1/2019,Plaza / Overland,Rose / Rodney,5,267
12/26/2019,Playa / Overland,Playa / Overland,11,481
10/24/2019,Charnock / Beatrice,Sepulveda / Runway,8,425
10/14/2019,McConnell / Inglewood,Culver / Charnock,5,387
12/30/2019,Charnock / Beatrice,Ballona / Ardmore,11,404
12/26/2019,Culver / Berendo,Culver / Charnock,4,623
12/8/2019,Wilcox / Vista,Virgil / Vermont,9,490
11/24/2019,Hollywood / Fountain,Overland / Olympic,7,458
11/4/2019,Ballona / Ardmore,Vista / Virgil,8,524
10/3/2019,Fountain / Figueroa,Wilcox / Vista,8,359
10/24/2019,Overland / Olympic,Rowena / Rose,307,374
11/26/2019,McConnell / Inglewood,Hyperion / Hollywood,6,586
10/21/2019,Ardmore / 6th,Overland / Olympic,18,288
11/11/2019,Overland / Olympic,McConnell / Inglewood,6,530
10/19/2019,Plaza / Overland,Vista / Virgil,21,519
12/20/2019,Runway / Rowena,Durango / Charnock,9,508
10/7/2019,Sepulveda / Rowena,Centinela / Berendo,8,649
11/13/2019,Durango / Centinela,Beatrice / Ballona,8,614
9/8/2019,Ardmore / 6th,Durango / Centinela,11,593
9/15/2019,Sepulveda / Runway,Vista / Virgil,6,425
9/17/2019,Figueroa / Durango,Durango / Charnock,14,259
11/21/2019,Rodney / Playa,Culver / Centinela,5,185
9/11/2019,Overland / Olympic,Runway / Rowena,16,610
12/14/2019,Ballona / Ardmore,Runway / Rowena,13,491
11/1/2019,Beatrice / Ballona,Rowena / Rose,26,576
11/28/2019,Overland / McConnell,Ardmore / 6th,8,575
11/2/2019,Wilcox / Vista,Vista / Virgil,11,353
11/28/2019,Westlawn / Vista,Playa / Overland,22,462
12/17/2019,Olympic / McConnell,Overland / Olympic,9,280
9/25/2019,Charnock / Beatrice,Vista / Virgil,25,538
12/20/2019,Venice / Runway,Ballona / 6th,5,107
9/24/2019,Playa / Overland,Plaza / Overland,15,390
12/14/2019,Runway / Rowena,Hollywood / Fountain,15,489
12/12/2019,Hollywood / Fountain,Overland / Olympic,14,433
12/22/2019,Berendo / Beatrice,Fountain / Durango,8,365
12/29/2019,Virgil / Vermont,Westlawn / Vista,6,588
10/16/2019,Rowena / Rodney,Sepulveda / Rowena,14,674
9/28/2019,Hollywood / Fountain,Playa / Overland,12,381
11/5/2019,Ardmore / 6th,Overland / Olympic,18,322
9/9/2019,Ardmore / 6th,Westlawn / Vista,8,530
9/18/2019,Overland / Olympic,Durango / Charnock,16,446
12/28/2019,McConnell / McConnell,Runway / Rowena,13,498
12/11/2019,Playa / Overland,Rose / Rodney,53,411
9/29/2019,Runway / Rowena,Figueroa / Culver,7,558
10/28/2019,Beatrice / 6th,Ballona / Ardmore,15,416
11/21/2019,Westlawn / Vista,McConnell / McConnell,9,528
9/16/2019,Hollywood / Fountain,Overland / Olympic,14,489
12/24/2019,Vermont / Sepulveda,Westlawn / Virgil,13,645
12/8/2019,McConnell / McConnell,Playa / Olympic,8,613
9/2/2019,Charnock / Centinela,Rodney / Playa,10,196
11/26/2019,Ardmore / 6th,Durango / Charnock,8,363
11/19/2019,Rose / Rodney,Playa / Olympic,35,411
10/2/2019,Rowena / Rose,Overland / Olympic,6,633
12/21/2019,Charnock / Beatrice,Olympic / McConnell,4,537
9/22/2019,Overland / McConnell,Durango / Centinela,8,465
11/28/2019,Hollywood / Fountain,Vista / Virgil,7,631
10/12/2019,Rowena / Rose,Rowena / Rose,18,270
11/25/2019,Virgil / Vermont,Beatrice / 6th,12,268
11/30/2019,Fountain / Figueroa,Figueroa / Durango,5,420
9/2/2019,Olympic / McConnell,Playa / Olympic,17,400
9/11/2019,Overland / Olympic,Berendo / Beatrice,20,360
11/7/2019,Overland / Olympic,Ardmore / 6th,18,458
10/8/2019,Hollywood / Fountain,Culver / Berendo,5,280
10/4/2019,Westlawn / Vista,Playa / Olympic,13,582
10/28/2019,Durango / Centinela,Durango / Centinela,21,379
11/10/2019,Overland / Olympic,Overland / McConnell,23,266
11/24/2019,Playa / Overland,Culver / Charnock,8,527
10/8/2019,Runway / Rowena,Runway / Rowena,261,526
9/27/2019,Culver / Charnock,Durango / Centinela,23,405
10/1/2019,Fountain / Figueroa,Berendo / Beatrice,11,375
9/29/2019,Overland / Olympic,Overland / Olympic,23,487
12/4/2019,Beatrice / 6th,Overland / McConnell,12,497
11/29/2019,Ardmore / 6th,Vista / Virgil,4,530
9/22/2019,McConnell / Inglewood,Overland / Olympic,19,283
9/22/2019,Wilcox / Vista,Fountain / Figueroa,5,357
11/30/2019,Westlawn / Vista,Overland / McConnell,18,581
9/1/2019,McConnell / Inglewood,Overland / Olympic,12,484
10/14/2019,Overland / Olympic,Beatrice / Ballona,24,433
9/20/2019,Beatrice / Ardmore,Berendo / Ballona,6,149
12/17/2019,Plaza / Overland,Ardmore / 6th,19,541
12/4/2019,Fountain / Durango,Culver / Charnock,12,619
12/4/2019,Beatrice / 6th,Ballona / Ardmore,7,435
10/5/2019,Runway / Rowena,Overland / McConnell,14,351
12/17/2019,Beatrice / 6th,Rowena / Rose,14,352
9/24/2019,Beatrice / 6th,Playa / Olympic,11,510
10/15/2019,Durango / Centinela,Vista / Virgil,17,371
9/24/2019,Overland / Olympic,Vista / Virgil,15,283
11/7/2019,Virgil / Vermont,Vista / Virgil,8,282
12/7/2019,Vermont / Venice,Fountain / Figueroa,5,612
9/28/2019,Beatrice / 6th,Vermont / Venice,22,268
12/25/2019,Hollywood / Fountain,Overland / McConnell,17,542
10/6/2019,Vista / Virgil,Virgil / Vermont,5,282
11/3/2019,Overland / McConnell,Westlawn / Vista,24,569
10/7/2019,Culver / Berendo,Vermont / Venice,19,348
11/25/2019,Rodney / Playa,Culver / Centinela,7,31
9/22/2019,Culver / Berendo,Plaza / Overland,20,270
10/25/2019,Exposition / Culver,Durango / Centinela,43,436
12/3/2019,Vista / Virgil,Vista / Virgil,3,416
10/22/2019,Sepulveda / Runway,Wilcox / Vista,17,523
10/1/2019,Fountain / Durango,Charnock / Beatrice,9,407
9/22/2019,Overland / McConnell,Wilcox / Vista,28,570
10/27/2019,Overland / McConnell,Wilcox / Vista,29,542
9/7/2019,Overland / McConnell,Wilcox / Vista,29,632
11/3/2019,Exposition / Charnock,Exposition / Durango,13,92
10/10/2019,Overland / McConnell,Olympic / McConnell,10,351
10/23/2019,Centinela / Beatrice,Exposition / Charnock,35,120
12/16/2019,Overland / McConnell,Exposition / Culver,14,363
11/22/2019,Plaza / Overland,Wilcox / Vista,6,270
9/17/2019,Overland / Olympic,Charnock / Beatrice,10,469
9/26/2019,Vermont / Sepulveda,Rowena / Rodney,6,609
10/1/2019,Vermont / Venice,Figueroa / Durango,6,472
10/22/2019,McConnell / McConnell,Runway / Rowena,7,273
10/4/2019,Virgil / Vermont,Vista / Virgil,8,282
12/12/2019,Rowena / Rose,Rowena / Rose,7,276
9/23/2019,Culver / Charnock,Fountain / Figueroa,11,585
11/22/2019,Figueroa / Durango,Durango / Centinela,13,343
9/29/2019,Virgil / Vermont,Rose / Rodney,7,431
11/8/2019,Beatrice / 6th,Overland / Olympic,12,520
12/9/2019,Overland / McConnell,McConnell / McConnell,8,499
9/30/2019,Overland / McConnell,Figueroa / Durango,9,484
11/16/2019,Overland / McConnell,Beatrice / 6th,10,422
9/4/2019,Playa / Olympic,Berendo / Beatrice,7,411
11/25/2019,Vermont / Venice,Overland / McConnell,22,366
11/8/2019,Playa / Overland,Durango / Centinela,50,456
10/30/2019,Durango / Charnock,Overland / McConnell,13,481
12/2/2019,Playa / Overland,Durango / Centinela,21,287
12/4/2019,Charnock / Beatrice,Overland / Olympic,9,469
10/9/2019,Virgil / Vermont,Ardmore / 6th,9,516
9/17/2019,Vermont / Venice,Rowena / Rose,21,563
10/22/2019,Ballona / Ardmore,Wilcox / Vista,16,471
9/11/2019,Vermont / Sepulveda,Rowena / Rodney,6,658
12/6/2019,Overland / Olympic,Runway / Rowena,8,281
10/2/2019,Beatrice / Ballona,Charnock / Beatrice,9,280
11/5/2019,Overland / McConnell,Beatrice / Ballona,5,507
11/4/2019,Vista / Virgil,Beatrice / 6th,9,530
12/3/2019,Olympic / McConnell,Olympic / McConnell,14,569
10/25/2019,Durango / Centinela,Exposition / Culver,27,287
10/20/2019,Durango / Centinela,Exposition / Culver,26,474
10/27/2019,Culver / Charnock,Overland / Olympic,9,627
12/16/2019,Durango / Charnock,Wilcox / Vista,15,446
9/25/2019,Westlawn / Vista,Vista / Virgil,15,391
9/4/2019,Berendo / Beatrice,Culver / Berendo,8,411
9/1/2019,Durango / Centinela,Vermont / Venice,9,507
12/23/2019,Westlawn / Vista,Beatrice / Ballona,11,543
9/19/2019,McConnell / McConnell,Overland / Olympic,23,354
9/27/2019,Overland / Olympic,Exposition / Culver,19,548
10/25/2019,Overland / McConnell,Figueroa / Culver,14,613
12/4/2019,Vista / Vermont,Vista / Vermont,24,662
11/5/2019,Wilcox / Vista,Wilcox / Vista,7,471
12/28/2019,Rose / Rodney,McConnell / Inglewood,21,310
12/18/2019,Rowena / Rose,Rowena / Rose,8,276
12/17/2019,Fountain / Durango,Hollywood / Fountain,10,539
11/11/2019,McConnell / Inglewood,McConnell / Inglewood,6,352
10/25/2019,Ballona / 6th,Vista / Vermont,47,107
10/26/2019,Runway / Rowena,Runway / Rowena,27,490
12/12/2019,Culver / Charnock,Berendo / Beatrice,14,361
9/14/2019,Vista / Virgil,Virgil / Vermont,4,283
12/17/2019,Culver / Berendo,Beatrice / Ballona,7,466
