Date,Factory,Market,Units
3/3/2012,Memphis,Mexico,277
3/3/2012,Memphis,Netherlands,292
3/3/2012,Memphis,Poland,113
3/3/2012,Memphis,Russia,139
3/3/2012,Memphis,South Korea,195
3/3/2012,Memphis,Spain,265
3/3/2012,Memphis,Taiwan,212
3/3/2012,Memphis,Turkey,98
3/3/2012,Memphis,United Kingdom,72
3/3/2012,Milwaukee,Australia,124
3/3/2012,Milwaukee,Brazil,80
3/3/2012,Milwaukee,Canada,185
3/3/2012,Milwaukee,China,105
3/3/2012,Milwaukee,France,165
3/3/2012,Milwaukee,Germany,193
3/3/2012,Milwaukee,India,163
3/3/2012,Milwaukee,Indonesia,105
3/3/2012,Milwaukee,Iran,289
3/3/2012,Milwaukee,Italy,76
3/3/2012,Milwaukee,Japan,161
3/3/2012,Milwaukee,Mexico,136
3/3/2012,Milwaukee,Netherlands,169
3/3/2012,Milwaukee,Poland,76
3/3/2012,Milwaukee,Russia,43
3/3/2012,Milwaukee,South Korea,170
3/3/2012,Milwaukee,Spain,137
3/3/2012,Milwaukee,Taiwan,137
3/3/2012,Milwaukee,Turkey,23
3/3/2012,Milwaukee,United Kingdom,175
3/3/2012,Nashville-Davidson,Australia,79
3/3/2012,Nashville-Davidson,Brazil,116
3/3/2012,Nashville-Davidson,Canada,41
3/3/2012,Nashville-Davidson,China,297
3/3/2012,Nashville-Davidson,France,61
3/3/2012,Nashville-Davidson,Germany,23
3/3/2012,Nashville-Davidson,India,199
3/3/2012,Nashville-Davidson,Indonesia,156
3/3/2012,Nashville-Davidson,Iran,188
3/3/2012,Nashville-Davidson,Italy,98
3/3/2012,Nashville-Davidson,Japan,76
3/3/2012,Nashville-Davidson,Mexico,35
3/3/2012,Nashville-Davidson,Netherlands,116
3/3/2012,Nashville-Davidson,Poland,185
3/3/2012,Nashville-Davidson,Russia,117
3/3/2012,Nashville-Davidson,South Korea,195
3/3/2012,Nashville-Davidson,Spain,109
3/3/2012,Nashville-Davidson,Taiwan,213
3/3/2012,Nashville-Davidson,Turkey,105
3/3/2012,Nashville-Davidson,United Kingdom,73
3/3/2012,New York,Australia,106
3/3/2012,New York,Brazil,57
3/3/2012,New York,Canada,144
3/3/2012,New York,China,41
3/3/2012,New York,France,27
3/3/2012,New York,Germany,284
3/3/2012,New York,India,248
3/3/2012,New York,Indonesia,276
3/3/2012,New York,Iran,42
3/3/2012,New York,Italy,131
3/3/2012,New York,Japan,65
3/3/2012,New York,Mexico,292
3/3/2012,New York,Netherlands,226
3/3/2012,New York,Poland,194
3/3/2012,New York,Russia,177
3/3/2012,New York,South Korea,205
3/3/2012,New York,Spain,248
3/3/2012,New York,Taiwan,221
3/3/2012,New York,Turkey,151
3/3/2012,New York,United Kingdom,66
3/3/2012,Philadelphia,Australia,227
3/3/2012,Philadelphia,Brazil,133
3/3/2012,Philadelphia,Canada,169
3/3/2012,Philadelphia,China,94
3/3/2012,Philadelphia,France,106
3/3/2012,Philadelphia,Germany,249
3/3/2012,Philadelphia,India,126
3/3/2012,Philadelphia,Indonesia,37
3/3/2012,Philadelphia,Iran,238
3/3/2012,Philadelphia,Italy,173
3/3/2012,Philadelphia,Japan,77
3/3/2012,Philadelphia,Mexico,257
3/3/2012,Philadelphia,Netherlands,173
3/3/2012,Philadelphia,Poland,118
3/3/2012,Philadelphia,Russia,33
3/3/2012,Philadelphia,South Korea,70
3/3/2012,Philadelphia,Spain,49
3/3/2012,Philadelphia,Taiwan,196
3/3/2012,Philadelphia,Turkey,299
3/3/2012,Philadelphia,United Kingdom,180
3/3/2012,Phoenix,Australia,101
3/3/2012,Phoenix,Brazil,158
3/3/2012,Phoenix,Canada,222
3/3/2012,Phoenix,China,63
3/3/2012,Phoenix,France,136
3/3/2012,Phoenix,Germany,29
3/3/2012,Phoenix,India,46
3/3/2012,Phoenix,Indonesia,206
3/3/2012,Phoenix,Iran,103
3/3/2012,Phoenix,Italy,263
3/3/2012,Phoenix,Japan,166
3/3/2012,Phoenix,Mexico,273
3/3/2012,Phoenix,Netherlands,271
3/3/2012,Phoenix,Poland,238
3/3/2012,Phoenix,Russia,22
3/3/2012,Phoenix,South Korea,124
3/3/2012,Phoenix,Spain,193
3/3/2012,Phoenix,Taiwan,24
3/3/2012,Phoenix,Turkey,254
3/3/2012,Phoenix,United Kingdom,216
3/3/2012,Portland,Australia,128
3/3/2012,Portland,Brazil,297
3/3/2012,Portland,Canada,91
3/3/2012,Portland,China,230
3/3/2012,Portland,France,196
3/3/2012,Portland,Germany,164
3/3/2012,Portland,India,213
3/3/2012,Portland,Indonesia,281
3/3/2012,Portland,Iran,176
3/3/2012,Portland,Italy,293
3/3/2012,Portland,Japan,208
3/3/2012,Portland,Mexico,220
3/3/2012,Portland,Netherlands,268
3/3/2012,Portland,Poland,41
3/3/2012,Portland,Russia,207
3/3/2012,Portland,South Korea,74
3/3/2012,Portland,Spain,244
3/3/2012,Portland,Taiwan,202
3/3/2012,Portland,Turkey,247
3/3/2012,Portland,United Kingdom,191
3/3/2012,San Antonio,Australia,43
3/3/2012,San Antonio,Brazil,175
3/3/2012,San Antonio,Canada,206
3/3/2012,San Antonio,China,35
3/3/2012,San Antonio,France,92
3/3/2012,San Antonio,Germany,87
3/3/2012,San Antonio,India,257
3/3/2012,San Antonio,Indonesia,27
3/3/2012,San Antonio,Iran,292
3/3/2012,San Antonio,Italy,68
3/3/2012,San Antonio,Japan,121
3/3/2012,San Antonio,Mexico,65
3/3/2012,San Antonio,Netherlands,208
3/3/2012,San Antonio,Poland,206
3/3/2012,San Antonio,Russia,31
3/3/2012,San Antonio,South Korea,60
3/3/2012,San Antonio,Spain,107
3/3/2012,San Antonio,Taiwan,79
3/3/2012,San Antonio,Turkey,53
3/3/2012,San Antonio,United Kingdom,268
3/3/2012,San Diego,Australia,27
3/3/2012,San Diego,Brazil,85
3/3/2012,San Diego,Canada,66
3/3/2012,San Diego,China,84
3/3/2012,San Diego,France,165
3/3/2012,San Diego,Germany,274
3/3/2012,San Diego,India,71
3/3/2012,San Diego,Indonesia,229
3/3/2012,San Diego,Iran,221
3/3/2012,San Diego,Italy,40
3/3/2012,San Diego,Japan,295
3/3/2012,San Diego,Mexico,103
3/3/2012,San Diego,Netherlands,271
3/3/2012,San Diego,Poland,214
3/3/2012,San Diego,Russia,202
3/3/2012,San Diego,South Korea,90
3/3/2012,San Diego,Spain,114
3/3/2012,San Diego,Taiwan,139
3/3/2012,San Diego,Turkey,192
3/3/2012,San Diego,United Kingdom,207
3/3/2012,San Francisco,Australia,300
3/3/2012,San Francisco,Brazil,103
3/3/2012,San Francisco,Canada,241
3/3/2012,San Francisco,China,209
3/3/2012,San Francisco,France,160
3/3/2012,San Francisco,Germany,60
3/3/2012,San Francisco,India,204
3/3/2012,San Francisco,Indonesia,119
3/3/2012,San Francisco,Iran,118
3/3/2012,San Francisco,Italy,262
3/3/2012,San Francisco,Japan,175
3/3/2012,San Francisco,Mexico,218
3/3/2012,San Francisco,Netherlands,84
3/3/2012,San Francisco,Poland,56
3/3/2012,San Francisco,Russia,45
3/3/2012,San Francisco,South Korea,169
3/3/2012,San Francisco,Spain,37
3/3/2012,San Francisco,Taiwan,120
3/3/2012,San Francisco,Turkey,241
3/3/2012,San Francisco,United Kingdom,210
3/3/2012,San Jose,Australia,39
3/3/2012,San Jose,Brazil,54
3/3/2012,San Jose,Canada,108
3/3/2012,San Jose,China,21
3/3/2012,San Jose,France,152
3/3/2012,San Jose,Germany,255
3/3/2012,San Jose,India,29
3/3/2012,San Jose,Indonesia,29
3/3/2012,San Jose,Iran,163
3/3/2012,San Jose,Italy,238
3/3/2012,San Jose,Japan,51
3/3/2012,San Jose,Mexico,53
3/3/2012,San Jose,Netherlands,57
3/3/2012,San Jose,Poland,298
3/3/2012,San Jose,Russia,90
3/3/2012,San Jose,South Korea,107
3/3/2012,San Jose,Spain,37
3/3/2012,San Jose,Taiwan,150
3/3/2012,San Jose,Turkey,128
3/3/2012,San Jose,United Kingdom,294
3/3/2012,Seattle,Australia,85
3/3/2012,Seattle,Brazil,203
3/3/2012,Seattle,Canada,89
3/3/2012,Seattle,China,51
3/3/2012,Seattle,France,171
3/3/2012,Seattle,Germany,76
3/3/2012,Seattle,India,103
3/3/2012,Seattle,Indonesia,293
3/3/2012,Seattle,Iran,89
3/3/2012,Seattle,Italy,207
3/3/2012,Seattle,Japan,224
3/3/2012,Seattle,Mexico,60
3/3/2012,Seattle,Netherlands,178
3/3/2012,Seattle,Poland,168
3/3/2012,Seattle,Russia,35
3/3/2012,Seattle,South Korea,291
3/3/2012,Seattle,Spain,253
3/3/2012,Seattle,Taiwan,53
3/3/2012,Seattle,Turkey,136
3/3/2012,Seattle,United Kingdom,131
3/3/2012,Washington,Australia,27
3/3/2012,Washington,Brazil,151
3/3/2012,Washington,Canada,24
3/3/2012,Washington,China,167
3/3/2012,Washington,France,266
3/3/2012,Washington,Germany,262
3/3/2012,Washington,India,201
3/3/2012,Washington,Indonesia,130
3/3/2012,Washington,Iran,237
3/3/2012,Washington,Italy,84
3/3/2012,Washington,Japan,57
3/3/2012,Washington,Mexico,104
3/3/2012,Washington,Netherlands,149
3/3/2012,Washington,Poland,60
3/3/2012,Washington,Russia,201
3/3/2012,Washington,South Korea,71
3/3/2012,Washington,Spain,20
3/3/2012,Washington,Taiwan,165
3/3/2012,Washington,Turkey,74
3/3/2012,Washington,United Kingdom,190
3/4/2012,Austin,Australia,267
3/4/2012,Austin,Brazil,102
3/4/2012,Austin,Canada,221
3/4/2012,Austin,China,102
3/4/2012,Austin,France,107
3/4/2012,Austin,Germany,91
3/4/2012,Austin,India,287
3/4/2012,Austin,Indonesia,146
3/4/2012,Austin,Iran,207
3/4/2012,Austin,Italy,138
3/4/2012,Austin,Japan,154
3/4/2012,Austin,Mexico,216
3/4/2012,Austin,Netherlands,35
3/4/2012,Austin,Poland,65
3/4/2012,Austin,Russia,248
3/4/2012,Austin,South Korea,262
3/4/2012,Austin,Spain,225
3/4/2012,Austin,Taiwan,62
3/4/2012,Austin,Turkey,203
3/4/2012,Austin,United Kingdom,52
3/4/2012,Baltimore,Australia,195
3/4/2012,Baltimore,Brazil,246
3/4/2012,Baltimore,Canada,230
3/4/2012,Baltimore,China,297
3/4/2012,Baltimore,France,136
3/4/2012,Baltimore,Germany,210
3/4/2012,Baltimore,India,288
3/4/2012,Baltimore,Indonesia,101
3/4/2012,Baltimore,Iran,83
3/4/2012,Baltimore,Italy,206
3/4/2012,Baltimore,Japan,36
3/4/2012,Baltimore,Mexico,250
3/4/2012,Baltimore,Netherlands,146
3/4/2012,Baltimore,Poland,202
3/4/2012,Baltimore,Russia,204
3/4/2012,Baltimore,South Korea,38
3/4/2012,Baltimore,Spain,56
3/4/2012,Baltimore,Taiwan,115
3/4/2012,Baltimore,Turkey,115
3/4/2012,Baltimore,United Kingdom,97
3/4/2012,Boston,Australia,109
3/4/2012,Boston,Brazil,43
3/4/2012,Boston,Canada,297
3/4/2012,Boston,China,141
3/4/2012,Boston,France,91
3/4/2012,Boston,Germany,208
3/4/2012,Boston,India,87
3/4/2012,Boston,Indonesia,192
3/4/2012,Boston,Iran,245
3/4/2012,Boston,Italy,177
3/4/2012,Boston,Japan,38
3/4/2012,Boston,Mexico,277
3/4/2012,Boston,Netherlands,270
3/4/2012,Boston,Poland,114
3/4/2012,Boston,Russia,174
3/4/2012,Boston,South Korea,159
3/4/2012,Boston,Spain,22
3/4/2012,Boston,Taiwan,189
3/4/2012,Boston,Turkey,50
3/4/2012,Boston,United Kingdom,205
3/4/2012,Charlotte,Australia,287
3/4/2012,Charlotte,Brazil,228
3/4/2012,Charlotte,Canada,254
3/4/2012,Charlotte,China,174
3/4/2012,Charlotte,France,138
3/4/2012,Charlotte,Germany,216
3/4/2012,Charlotte,India,191
3/4/2012,Charlotte,Indonesia,100
3/4/2012,Charlotte,Iran,86
3/4/2012,Charlotte,Italy,191
3/4/2012,Charlotte,Japan,38
3/4/2012,Charlotte,Mexico,145
3/4/2012,Charlotte,Netherlands,124
3/4/2012,Charlotte,Poland,46
3/4/2012,Charlotte,Russia,257
3/4/2012,Charlotte,South Korea,218
3/4/2012,Charlotte,Spain,208
3/4/2012,Charlotte,Taiwan,44
3/4/2012,Charlotte,Turkey,117
3/4/2012,Charlotte,United Kingdom,253
3/4/2012,Chicago,Australia,183
3/4/2012,Chicago,Brazil,135
3/4/2012,Chicago,Canada,160
3/4/2012,Chicago,China,242
3/4/2012,Chicago,France,289
3/4/2012,Chicago,Germany,269
3/4/2012,Chicago,India,198
3/4/2012,Chicago,Indonesia,129
3/4/2012,Chicago,Iran,97
3/4/2012,Chicago,Italy,115
3/4/2012,Chicago,Japan,51
3/4/2012,Chicago,Mexico,20
3/4/2012,Chicago,Netherlands,114
3/4/2012,Chicago,Poland,246
3/4/2012,Chicago,Russia,117
3/4/2012,Chicago,South Korea,57
3/4/2012,Chicago,Spain,67
3/4/2012,Chicago,Taiwan,142
3/4/2012,Chicago,Turkey,90
3/4/2012,Chicago,United Kingdom,285
3/4/2012,Columbus,Australia,160
3/4/2012,Columbus,Brazil,37
3/4/2012,Columbus,Canada,291
3/4/2012,Columbus,China,158
3/4/2012,Columbus,France,230
3/4/2012,Columbus,Germany,243
3/4/2012,Columbus,India,266
3/4/2012,Columbus,Indonesia,133
3/4/2012,Columbus,Iran,37
3/4/2012,Columbus,Italy,265
3/4/2012,Columbus,Japan,221
3/4/2012,Columbus,Mexico,204
3/4/2012,Columbus,Netherlands,110
3/4/2012,Columbus,Poland,98
3/4/2012,Columbus,Russia,188
3/4/2012,Columbus,South Korea,215
3/4/2012,Columbus,Spain,50
3/4/2012,Columbus,Taiwan,175
3/4/2012,Columbus,Turkey,239
3/4/2012,Columbus,United Kingdom,66
3/4/2012,Dallas,Australia,186
3/4/2012,Dallas,Brazil,31
3/4/2012,Dallas,Canada,127
3/4/2012,Dallas,China,67
3/4/2012,Dallas,France,22
3/4/2012,Dallas,Germany,104
3/4/2012,Dallas,India,107
3/4/2012,Dallas,Indonesia,133
3/4/2012,Dallas,Iran,224
3/4/2012,Dallas,Italy,241
3/4/2012,Dallas,Japan,100
3/4/2012,Dallas,Mexico,255
3/4/2012,Dallas,Netherlands,147
3/4/2012,Dallas,Poland,216
3/4/2012,Dallas,Russia,277
3/4/2012,Dallas,South Korea,190
3/4/2012,Dallas,Spain,243
3/4/2012,Dallas,Taiwan,146
3/4/2012,Dallas,Turkey,298
3/4/2012,Dallas,United Kingdom,161
3/4/2012,Denver,Australia,153
3/4/2012,Denver,Brazil,69
3/4/2012,Denver,Canada,268
3/4/2012,Denver,China,43
3/4/2012,Denver,France,186
3/4/2012,Denver,Germany,136
3/4/2012,Denver,India,246
3/4/2012,Denver,Indonesia,50
3/4/2012,Denver,Iran,167
3/4/2012,Denver,Italy,133
3/4/2012,Denver,Japan,294
3/4/2012,Denver,Mexico,82
3/4/2012,Denver,Netherlands,185
3/4/2012,Denver,Poland,64
3/4/2012,Denver,Russia,148
3/4/2012,Denver,South Korea,262
3/4/2012,Denver,Spain,101
3/4/2012,Denver,Taiwan,93
3/4/2012,Denver,Turkey,212
3/4/2012,Denver,United Kingdom,177
3/4/2012,Detroit,Australia,211
3/4/2012,Detroit,Brazil,50
3/4/2012,Detroit,Canada,128
3/4/2012,Detroit,China,103
3/4/2012,Detroit,France,223
3/4/2012,Detroit,Germany,175
3/4/2012,Detroit,India,240
3/4/2012,Detroit,Indonesia,172
3/4/2012,Detroit,Iran,30
3/4/2012,Detroit,Italy,146
3/4/2012,Detroit,Japan,131
3/4/2012,Detroit,Mexico,60
3/4/2012,Detroit,Netherlands,95
3/4/2012,Detroit,Poland,262
3/4/2012,Detroit,Russia,300
3/4/2012,Detroit,South Korea,88
3/4/2012,Detroit,Spain,103
3/4/2012,Detroit,Taiwan,220
3/4/2012,Detroit,Turkey,182
3/4/2012,Detroit,United Kingdom,134
3/4/2012,El Paso,Australia,90
3/4/2012,El Paso,Brazil,21
3/4/2012,El Paso,Canada,120
3/4/2012,El Paso,China,81
3/4/2012,El Paso,France,235
3/4/2012,El Paso,Germany,81
3/4/2012,El Paso,India,248
3/4/2012,El Paso,Indonesia,270
3/4/2012,El Paso,Iran,90
3/4/2012,El Paso,Italy,240
3/4/2012,El Paso,Japan,280
3/4/2012,El Paso,Mexico,78
3/4/2012,El Paso,Netherlands,84
3/4/2012,El Paso,Poland,69
3/4/2012,El Paso,Russia,157
3/4/2012,El Paso,South Korea,99
3/4/2012,El Paso,Spain,225
3/4/2012,El Paso,Taiwan,237
3/4/2012,El Paso,Turkey,234
3/4/2012,El Paso,United Kingdom,174
3/4/2012,Fort Worth,Australia,238
3/4/2012,Fort Worth,Brazil,235
3/4/2012,Fort Worth,Canada,28
3/4/2012,Fort Worth,China,74
3/4/2012,Fort Worth,France,62
3/4/2012,Fort Worth,Germany,176
3/4/2012,Fort Worth,India,174
3/4/2012,Fort Worth,Indonesia,43
3/4/2012,Fort Worth,Iran,160
3/4/2012,Fort Worth,Italy,63
3/4/2012,Fort Worth,Japan,204
3/4/2012,Fort Worth,Mexico,267
3/4/2012,Fort Worth,Netherlands,65
3/4/2012,Fort Worth,Poland,52
3/4/2012,Fort Worth,Russia,132
3/4/2012,Fort Worth,South Korea,256
3/4/2012,Fort Worth,Spain,101
3/4/2012,Fort Worth,Taiwan,61
3/4/2012,Fort Worth,Turkey,168
3/4/2012,Fort Worth,United Kingdom,60
3/4/2012,Houston,Australia,298
3/4/2012,Houston,Brazil,218
3/4/2012,Houston,Canada,208
3/4/2012,Houston,China,179
3/4/2012,Houston,France,164
3/4/2012,Houston,Germany,244
3/4/2012,Houston,India,131
3/4/2012,Houston,Indonesia,84
3/4/2012,Houston,Iran,199
3/4/2012,Houston,Italy,300
3/4/2012,Houston,Japan,165
3/4/2012,Houston,Mexico,232
3/4/2012,Houston,Netherlands,41
3/4/2012,Houston,Poland,244
3/4/2012,Houston,Russia,243
3/4/2012,Houston,South Korea,137
3/4/2012,Houston,Spain,198
3/4/2012,Houston,Taiwan,137
3/4/2012,Houston,Turkey,284
3/4/2012,Houston,United Kingdom,66
3/4/2012,Indianapolis,Australia,131
3/4/2012,Indianapolis,Brazil,248
3/4/2012,Indianapolis,Canada,90
3/4/2012,Indianapolis,China,99
3/4/2012,Indianapolis,France,36
3/4/2012,Indianapolis,Germany,209
3/4/2012,Indianapolis,India,168
3/4/2012,Indianapolis,Indonesia,81
3/4/2012,Indianapolis,Iran,134
3/4/2012,Indianapolis,Italy,83
3/4/2012,Indianapolis,Japan,261
3/4/2012,Indianapolis,Mexico,156
3/4/2012,Indianapolis,Netherlands,132
3/4/2012,Indianapolis,Poland,281
3/4/2012,Indianapolis,Russia,129
3/4/2012,Indianapolis,South Korea,74
3/4/2012,Indianapolis,Spain,48
3/4/2012,Indianapolis,Taiwan,89
3/4/2012,Indianapolis,Turkey,118
3/4/2012,Indianapolis,United Kingdom,229
3/4/2012,Jacksonville,Australia,34
3/4/2012,Jacksonville,Brazil,297
3/4/2012,Jacksonville,Canada,212
3/4/2012,Jacksonville,China,225
3/4/2012,Jacksonville,France,298
3/4/2012,Jacksonville,Germany,175
3/4/2012,Jacksonville,India,55
3/4/2012,Jacksonville,Indonesia,252
3/4/2012,Jacksonville,Iran,260
3/4/2012,Jacksonville,Italy,160
3/4/2012,Jacksonville,Japan,73
3/4/2012,Jacksonville,Mexico,214
3/4/2012,Jacksonville,Netherlands,201
3/4/2012,Jacksonville,Poland,161
3/4/2012,Jacksonville,Russia,287
3/4/2012,Jacksonville,South Korea,140
3/4/2012,Jacksonville,Spain,56
3/4/2012,Jacksonville,Taiwan,289
3/4/2012,Jacksonville,Turkey,107
3/4/2012,Jacksonville,United Kingdom,88
3/4/2012,Las Vegas,Australia,248
3/4/2012,Las Vegas,Brazil,233
3/4/2012,Las Vegas,Canada,52
3/4/2012,Las Vegas,China,198
3/4/2012,Las Vegas,France,214
3/4/2012,Las Vegas,Germany,50
3/4/2012,Las Vegas,India,21
3/4/2012,Las Vegas,Indonesia,84
3/4/2012,Las Vegas,Iran,256
3/4/2012,Las Vegas,Italy,300
3/4/2012,Las Vegas,Japan,96
3/4/2012,Las Vegas,Mexico,106
3/4/2012,Las Vegas,Netherlands,254
3/4/2012,Las Vegas,Poland,232
3/4/2012,Las Vegas,Russia,230
3/4/2012,Las Vegas,South Korea,212
3/4/2012,Las Vegas,Spain,158
3/4/2012,Las Vegas,Taiwan,124
3/4/2012,Las Vegas,Turkey,299
3/4/2012,Las Vegas,United Kingdom,217
3/4/2012,Los Angeles,Australia,24
3/4/2012,Los Angeles,Brazil,64
3/4/2012,Los Angeles,Canada,51
3/4/2012,Los Angeles,China,86
3/4/2012,Los Angeles,France,197
3/4/2012,Los Angeles,Germany,245
3/4/2012,Los Angeles,India,252
3/4/2012,Los Angeles,Indonesia,239
3/4/2012,Los Angeles,Iran,244
3/4/2012,Los Angeles,Italy,131
3/4/2012,Los Angeles,Japan,278
3/4/2012,Los Angeles,Mexico,120
3/4/2012,Los Angeles,Netherlands,59
3/4/2012,Los Angeles,Poland,47
3/4/2012,Los Angeles,Russia,135
3/4/2012,Los Angeles,South Korea,92
3/4/2012,Los Angeles,Spain,232
3/4/2012,Los Angeles,Taiwan,69
3/4/2012,Los Angeles,Turkey,54
3/4/2012,Los Angeles,United Kingdom,255
3/4/2012,Louisville-Jefferson County,Australia,66
3/4/2012,Louisville-Jefferson County,Brazil,129
3/4/2012,Louisville-Jefferson County,Canada,274
3/4/2012,Louisville-Jefferson County,China,253
3/4/2012,Louisville-Jefferson County,France,136
3/4/2012,Louisville-Jefferson County,Germany,267
3/4/2012,Louisville-Jefferson County,India,288
3/4/2012,Louisville-Jefferson County,Indonesia,277
3/4/2012,Louisville-Jefferson County,Iran,219
3/4/2012,Louisville-Jefferson County,Italy,259
3/4/2012,Louisville-Jefferson County,Japan,145
3/4/2012,Louisville-Jefferson County,Mexico,95
3/4/2012,Louisville-Jefferson County,Netherlands,292
3/4/2012,Louisville-Jefferson County,Poland,244
3/4/2012,Louisville-Jefferson County,Russia,128
3/4/2012,Louisville-Jefferson County,South Korea,169
3/4/2012,Louisville-Jefferson County,Spain,220
3/4/2012,Louisville-Jefferson County,Taiwan,256
3/4/2012,Louisville-Jefferson County,Turkey,58
3/4/2012,Louisville-Jefferson County,United Kingdom,198
3/4/2012,Memphis,Australia,211
3/4/2012,Memphis,Brazil,264
3/4/2012,Memphis,Canada,263
3/4/2012,Memphis,China,256
3/4/2012,Memphis,France,99
3/4/2012,Memphis,Germany,210
3/4/2012,Memphis,India,109
3/4/2012,Memphis,Indonesia,111
3/4/2012,Memphis,Iran,75
3/4/2012,Memphis,Italy,232
3/4/2012,Memphis,Japan,37
3/4/2012,Memphis,Mexico,289
3/4/2012,Memphis,Netherlands,257
3/4/2012,Memphis,Poland,269
3/4/2012,Memphis,Russia,144
3/4/2012,Memphis,South Korea,256
3/4/2012,Memphis,Spain,251
3/4/2012,Memphis,Taiwan,146
3/4/2012,Memphis,Turkey,247
3/4/2012,Memphis,United Kingdom,95
3/4/2012,Milwaukee,Australia,72
3/4/2012,Milwaukee,Brazil,37
3/4/2012,Milwaukee,Canada,131
3/4/2012,Milwaukee,China,65
3/4/2012,Milwaukee,France,276
3/4/2012,Milwaukee,Germany,292
3/4/2012,Milwaukee,India,143
3/4/2012,Milwaukee,Indonesia,281
3/4/2012,Milwaukee,Iran,92
3/4/2012,Milwaukee,Italy,176
3/4/2012,Milwaukee,Japan,94
3/4/2012,Milwaukee,Mexico,33
3/4/2012,Milwaukee,Netherlands,83
3/4/2012,Milwaukee,Poland,244
3/4/2012,Milwaukee,Russia,298
3/4/2012,Milwaukee,South Korea,265
3/4/2012,Milwaukee,Spain,155
3/4/2012,Milwaukee,Taiwan,24
3/4/2012,Milwaukee,Turkey,143
3/4/2012,Milwaukee,United Kingdom,249
3/4/2012,Nashville-Davidson,Australia,158
3/4/2012,Nashville-Davidson,Brazil,181
3/4/2012,Nashville-Davidson,Canada,300
3/4/2012,Nashville-Davidson,China,166
3/4/2012,Nashville-Davidson,France,256
3/4/2012,Nashville-Davidson,Germany,190
3/4/2012,Nashville-Davidson,India,35
3/4/2012,Nashville-Davidson,Indonesia,72
3/4/2012,Nashville-Davidson,Iran,107
3/4/2012,Nashville-Davidson,Italy,259
3/4/2012,Nashville-Davidson,Japan,177
3/4/2012,Nashville-Davidson,Mexico,135
3/4/2012,Nashville-Davidson,Netherlands,273
3/4/2012,Nashville-Davidson,Poland,218
3/4/2012,Nashville-Davidson,Russia,285
3/4/2012,Nashville-Davidson,South Korea,257
3/4/2012,Nashville-Davidson,Spain,32
3/4/2012,Nashville-Davidson,Taiwan,46
3/4/2012,Nashville-Davidson,Turkey,278
3/4/2012,Nashville-Davidson,United Kingdom,247
3/4/2012,New York,Australia,293
3/4/2012,New York,Brazil,218
3/4/2012,New York,Canada,90
3/4/2012,New York,China,292
3/4/2012,New York,France,23
3/4/2012,New York,Germany,101
3/4/2012,New York,India,135
3/4/2012,New York,Indonesia,129
3/4/2012,New York,Iran,138
3/4/2012,New York,Italy,82
3/4/2012,New York,Japan,154
3/4/2012,New York,Mexico,236
3/4/2012,New York,Netherlands,190
3/4/2012,New York,Poland,52
3/4/2012,New York,Russia,85
3/4/2012,New York,South Korea,70
3/4/2012,New York,Spain,268
3/4/2012,New York,Taiwan,248
3/4/2012,New York,Turkey,67
3/4/2012,New York,United Kingdom,298
3/4/2012,Philadelphia,Australia,211
3/4/2012,Philadelphia,Brazil,45
3/4/2012,Philadelphia,Canada,281
3/4/2012,Philadelphia,China,89
3/4/2012,Philadelphia,France,20
3/4/2012,Philadelphia,Germany,200
3/4/2012,Philadelphia,India,108
3/4/2012,Philadelphia,Indonesia,185
3/4/2012,Philadelphia,Iran,92
3/4/2012,Philadelphia,Italy,242
3/4/2012,Philadelphia,Japan,193
3/4/2012,Philadelphia,Mexico,41
3/4/2012,Philadelphia,Netherlands,50
3/4/2012,Philadelphia,Poland,264
3/4/2012,Philadelphia,Russia,223
3/4/2012,Philadelphia,South Korea,146
3/4/2012,Philadelphia,Spain,157
3/4/2012,Philadelphia,Taiwan,95
3/4/2012,Philadelphia,Turkey,260
3/4/2012,Philadelphia,United Kingdom,192
3/4/2012,Phoenix,Australia,159
3/4/2012,Phoenix,Brazil,296
3/4/2012,Phoenix,Canada,289
3/4/2012,Phoenix,China,137
3/4/2012,Phoenix,France,183
3/4/2012,Phoenix,Germany,144
3/4/2012,Phoenix,India,161
3/4/2012,Phoenix,Indonesia,125
3/4/2012,Phoenix,Iran,73
3/4/2012,Phoenix,Italy,158
3/4/2012,Phoenix,Japan,103
3/4/2012,Phoenix,Mexico,94
3/4/2012,Phoenix,Netherlands,109
3/4/2012,Phoenix,Poland,124
3/4/2012,Phoenix,Russia,192
3/4/2012,Phoenix,South Korea,45
3/4/2012,Phoenix,Spain,220
3/4/2012,Phoenix,Taiwan,200
3/4/2012,Phoenix,Turkey,116
3/4/2012,Phoenix,United Kingdom,204
3/4/2012,Portland,Australia,272
3/4/2012,Portland,Brazil,299
3/4/2012,Portland,Canada,286
3/4/2012,Portland,China,50
3/4/2012,Portland,France,223
3/4/2012,Portland,Germany,169
3/4/2012,Portland,India,286
3/4/2012,Portland,Indonesia,34
3/4/2012,Portland,Iran,133
3/4/2012,Portland,Italy,221
3/4/2012,Portland,Japan,211
3/4/2012,Portland,Mexico,203
3/4/2012,Portland,Netherlands,24
3/4/2012,Portland,Poland,117
3/4/2012,Portland,Russia,110
3/4/2012,Portland,South Korea,270
3/4/2012,Portland,Spain,79
3/4/2012,Portland,Taiwan,160
3/4/2012,Portland,Turkey,161
3/4/2012,Portland,United Kingdom,289
